      Source      Cruise     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_none  Min_none  Max_none   SD_none  Avg_draft Min_draft Max_draft  SD_draft
    USSUB-DG       1986b   6100067   1986  105.0  105.0  105.0      4   88.66  -73.34   88.60   88.70  -86.90  -59.77     70     70157   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.89      0.41     22.57      3.06
    USSUB-DG       1986b   6100068   1986  105.0  105.0  105.0      4   88.41  -51.05   88.30   88.50  -58.60  -43.51     49     49982   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.55      0.00     31.61      2.91
    USSUB-DG       1986b   6100069   1986  105.0  105.0  105.0      4   88.16  -38.83   88.00   88.30  -44.40  -33.26     49     49840   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.98      0.00     18.70      2.53
    USSUB-DG       1986b   6100070   1986  115.0  105.0  115.0      4   87.91  -28.37   87.70   88.20  -34.10  -22.65     59     59132   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.24      0.00     28.41      2.91
    USSUB-DG       1986b   6100071   1986  115.0  105.0  115.0      4   87.66  -20.27   87.40   87.90  -26.80  -13.74     64     64079   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.29      0.00     22.85      2.75
    USSUB-DG       1986b   6100072   1986  115.0  115.0  115.0      4   85.75    8.92   85.60   85.90    6.70   11.14     49     49864   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.32      0.00     20.20      2.18
    USSUB-DG       1986b   6100073   1986  115.0  115.0  115.0      4   86.00   13.06   85.90   86.10   11.30   14.81     35     35175   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.83      0.00     20.39      2.42
    USSUB-DG       1986b   6100074   1986  115.0  115.0  115.0      4   86.36   18.88   86.20   86.50   16.00   21.75     49     49835   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.42      0.04     22.73      1.78
    USSUB-DG       1986b   6100075   1986  115.0  115.0  115.0      4   86.65   26.67   86.50   86.80   22.00   31.33     70     70333   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.54      0.00     18.17      1.84
    USSUB-DG       1986b   6100076   1986  115.0  115.0  115.0      4   86.90   34.81   86.80   87.10   32.30   37.32     32     32878   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.20      0.00     22.23      2.26
