      Source    Campaign     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_frbrd Min_frbrd Max_frbrd  SD_frbrd Avg_thkns Min_thkns Max_thkns  SD_thkns
   ICESAT1-G          3d  11000067   2005  302.4  295.0  308.0     10   74.73  161.46   74.48   75.01  161.00  162.16    111       656   -999.00   -999.00   -999.00   -999.00      0.15      0.00      0.43      0.07      0.42      0.00      2.63      0.38
   ICESAT1-G          3d  11000068   2005  319.0  312.0  325.0     11   74.63  159.80   74.34   74.87  159.06  160.23    104       615   -999.00   -999.00   -999.00   -999.00      0.11      0.00      0.70      0.06      0.28      0.00      4.97      0.24
   ICESAT1-G          3d  11000069   2005  311.0  301.0  326.0     11   74.26  156.92   74.01   74.56  156.33  157.59    121       716   -999.00   -999.00   -999.00   -999.00      0.23      0.00      0.54      0.10      0.86      0.00      3.60      0.67
   ICESAT1-G          3d  11000070   2005  319.0  311.0  327.0     11   73.74  152.46   73.45   73.99  151.47  153.15    134       792   -999.00   -999.00   -999.00   -999.00      0.20      0.00      0.67      0.12      0.73      0.00      4.61      0.71
   ICESAT1-G          3d  11000071   2005  309.8  299.0  324.0     11   73.47  150.87   73.23   73.68  150.13  151.47     87       514   -999.00   -999.00   -999.00   -999.00      0.14      0.00      0.41      0.06      0.35      0.00      2.09      0.22
   ICESAT1-G          3d  11000072   2005  316.4  304.0  325.0     11   73.04  148.12   72.83   73.27  147.19  148.86     90       534   -999.00   -999.00   -999.00   -999.00      0.13      0.00      0.32      0.06      0.31      0.00      1.43      0.18
   ICESAT1-G          3d  11000073   2005  311.5  295.0  325.0     11   71.50 -139.01   71.19   71.78 -139.98 -138.32     93       549   -999.00   -999.00   -999.00   -999.00      0.38      0.00      1.22      0.20      2.76      0.00     10.52      1.81
   ICESAT1-G          3d  11000074   2005  313.1  295.0  320.0     11   71.79 -140.01   71.50   72.07 -140.64 -139.16    119       705   -999.00   -999.00   -999.00   -999.00      0.41      0.00      1.50      0.24      3.05      0.00     13.20      2.22
   ICESAT1-G          3d  11000075   2005  321.6  318.0  326.0     11   72.35 -142.33   72.09   72.61 -142.93 -141.87    137       807   -999.00   -999.00   -999.00   -999.00      0.34      0.00      1.22      0.19      2.29      0.00     10.47      1.72
   ICESAT1-G          3d  11000076   2005  311.3  305.0  318.0     11   72.63 -143.52   72.36   72.86 -144.01 -142.93    110       651   -999.00   -999.00   -999.00   -999.00      0.35      0.00      1.59      0.20      2.36      0.00     14.04      1.80
   ICESAT1-G          3d  11000077   2005  320.6  310.0  327.0     11   72.89 -144.74   72.64   73.10 -145.49 -144.01     91       538   -999.00   -999.00   -999.00   -999.00      0.30      0.00      1.33      0.17      1.82      0.00     11.49      1.51
   ICESAT1-G          3d  11000078   2005  314.8  303.0  323.0     11   73.38 -147.40   73.10   73.68 -148.25 -146.93    126       746   -999.00   -999.00   -999.00   -999.00      0.33      0.00      1.32      0.16      2.05      0.00     11.44      1.41
   ICESAT1-G          3d  11000079   2005  306.2  303.0  320.0     11   73.63 -148.54   73.37   73.90 -149.77 -147.72    114       672   -999.00   -999.00   -999.00   -999.00      0.29      0.00      0.91      0.14      1.68      0.01      7.49      1.20
   ICESAT1-G          3d  11000080   2005  321.6  320.0  324.0     11   73.84 -149.89   73.57   74.16 -150.33 -149.43    100       590   -999.00   -999.00   -999.00   -999.00      0.28      0.00      0.90      0.17      1.62      0.00      7.34      1.39
   ICESAT1-G          3d  11000081   2005  319.1  317.0  325.0     11   74.28 -153.08   74.06   74.51 -153.62 -151.95     91       539   -999.00   -999.00   -999.00   -999.00      0.22      0.00      0.95      0.12      0.98      0.00      7.68      0.94
   ICESAT1-G          3d  11000082   2005  317.2  301.0  326.0     11   74.55 -154.47   74.31   74.75 -154.98 -153.62    112       660   -999.00   -999.00   -999.00   -999.00      0.30      0.00      0.81      0.15      1.74      0.00      6.36      1.25
   ICESAT1-G          3d  11000083   2005  322.1  306.0  327.0     11   74.88 -157.57   74.61   75.12 -158.39 -156.88    126       745   -999.00   -999.00   -999.00   -999.00      0.24      0.00      0.92      0.12      1.17      0.00      7.34      0.95
   ICESAT1-G          3d  11000084   2005  317.5  312.0  323.0     11   75.21 -160.87   74.94   75.44 -161.65 -160.16    119       701   -999.00   -999.00   -999.00   -999.00      0.26      0.01      0.69      0.12      1.26      0.02      5.16      0.95
   ICESAT1-G          3d  11000085   2005  315.7  299.0  324.0     11   75.33 -162.92   75.11   75.60 -163.59 -161.86    112       659   -999.00   -999.00   -999.00   -999.00      0.32      0.00      1.23      0.20      1.85      0.00     10.31      1.69
   ICESAT1-G          3d  11000086   2005  319.1  300.0  325.0     11   75.56 -166.27   75.31   75.84 -167.22 -165.69    114       676   -999.00   -999.00   -999.00   -999.00      0.28      0.00      0.77      0.13      1.37      0.00      5.84      1.07
   ICESAT1-G          3d  11000087   2005  314.3  306.0  325.0     11   75.66 -168.17   75.44   75.94 -169.04 -166.88    140       827   -999.00   -999.00   -999.00   -999.00      0.20      0.00      0.80      0.12      0.80      0.00      6.15      0.86
   ICESAT1-G          3d  11000088   2005  320.3  299.0  327.0     11   75.83 -171.98   75.62   76.08 -172.60 -170.76     94       553   -999.00   -999.00   -999.00   -999.00      0.15      0.00      0.45      0.07      0.45      0.00      2.75      0.34
   ICESAT1-G          3d  11000089   2005  314.2  300.0  327.0     11   75.92 -173.48   75.67   76.14 -174.39 -172.60    180      1061   -999.00   -999.00   -999.00   -999.00      0.14      0.00      0.49      0.08      0.44      0.00      3.22      0.46
   ICESAT1-G          3d  11000090   2005  321.7  318.0  326.0     11   75.99 -177.22   75.73   76.21 -178.13 -176.32    127       749   -999.00   -999.00   -999.00   -999.00      0.17      0.00      0.83      0.11      0.60      0.00      6.28      0.69
   ICESAT1-G          3d  11000091   2005  312.6  300.0  325.0     11   75.78  169.65   75.52   76.02  168.78  170.58    129       762   -999.00   -999.00   -999.00   -999.00      0.23      0.00      1.00      0.13      0.99      0.00      7.98      0.99
   ICESAT1-G          3d  11000092   2005  318.4  298.0  326.0     11   75.58  165.99   75.32   75.80  165.26  167.23    109       647   -999.00   -999.00   -999.00   -999.00      0.19      0.01      0.58      0.09      0.63      0.02      4.04      0.55
   ICESAT1-G          3d  11000093   2005  308.7  299.0  327.0     11   75.43  164.17   75.19   75.71  163.35  165.24    170      1004   -999.00   -999.00   -999.00   -999.00      0.26      0.00      1.21      0.13      1.12      0.00      9.97      1.00
   ICESAT1-G          3d  11000094   2005  316.9  308.0  324.0     11   75.33  162.81   75.13   75.56  161.91  163.63     85       503   -999.00   -999.00   -999.00   -999.00      0.12      0.00      0.61      0.07      0.29      0.00      4.08      0.26
   ICESAT1-G          3d  11000095   2005  313.3  299.0  324.0     11   73.88  150.00   73.61   74.13  149.44  150.59    108       637   -999.00   -999.00   -999.00   -999.00      0.17      0.00      0.34      0.05      0.41      0.00      1.52      0.18
   ICESAT1-G          3d  11000096   2005  315.3  312.0  320.0     11   73.67  148.94   73.42   73.95  148.30  149.44    120       709   -999.00   -999.00   -999.00   -999.00      0.15      0.00      0.35      0.07      0.39      0.00      1.68      0.26
   ICESAT1-G          3d  11000097   2005  311.7  295.0  325.0     11   72.16 -139.02   71.84   72.45 -139.60 -138.32    172      1014   -999.00   -999.00   -999.00   -999.00      0.36      0.00      1.87      0.24      2.56      0.00     16.59      2.12
   ICESAT1-G          3d  11000098   2005  312.2  309.0  317.0     11   72.42 -140.25   72.14   72.69 -140.86 -139.81    121       713   -999.00   -999.00   -999.00   -999.00      0.37      0.00      1.57      0.23      2.55      0.00     13.87      2.13
   ICESAT1-G          3d  11000099   2005  317.2  309.0  326.0     11   72.76 -141.58   72.56   73.03 -142.34 -140.86    101       598   -999.00   -999.00   -999.00   -999.00      0.34      0.00      1.66      0.18      2.26      0.00     14.62      1.64
   ICESAT1-G          3d  11000100   2005  317.4  305.0  326.0     11   73.03 -142.85   72.75   73.30 -143.35 -141.60    110       649   -999.00   -999.00   -999.00   -999.00      0.32      0.00      1.20      0.16      1.99      0.00     10.33      1.44
   ICESAT1-G          3d  11000101   2005  315.7  305.0  326.0     11   73.29 -144.14   73.05   73.57 -144.53 -142.84     98       578   -999.00   -999.00   -999.00   -999.00      0.27      0.00      1.02      0.15      1.62      0.00      8.51      1.24
   ICESAT1-G          3d  11000102   2005  311.7  306.0  327.0     11   73.57 -145.37   73.37   73.83 -146.03 -144.53    109       646   -999.00   -999.00   -999.00   -999.00      0.33      0.00      0.92      0.16      2.10      0.00      7.58      1.41
   ICESAT1-G          3d  11000103   2005  325.0  323.0  327.0     11   73.82 -146.48   73.59   74.05 -146.93 -146.03    103       606   -999.00   -999.00   -999.00   -999.00      0.32      0.00      0.88      0.13      1.86      0.00      7.11      1.14
   ICESAT1-G          3d  11000104   2005  310.0  303.0  319.0     11   74.01 -148.08   73.74   74.28 -148.86 -147.33    115       680   -999.00   -999.00   -999.00   -999.00      0.29      0.00      0.91      0.14      1.67      0.00      7.43      1.20
   ICESAT1-G          3d  11000105   2005  312.5  295.0  324.0     11   74.28 -149.19   74.02   74.54 -150.39 -148.32    116       687   -999.00   -999.00   -999.00   -999.00      0.24      0.00      0.89      0.14      1.24      0.00      7.21      1.13
   ICESAT1-G          3d  11000106   2005  311.3  295.0  320.0     11   74.51 -150.52   74.22   74.78 -151.00 -150.03     91       539   -999.00   -999.00   -999.00   -999.00      0.22      0.00      0.67      0.11      1.08      0.00      5.07      0.89
   ICESAT1-G          3d  11000107   2005  321.0  317.0  325.0     11   74.67 -152.06   74.40   74.95 -152.65 -151.46     94       556   -999.00   -999.00   -999.00   -999.00      0.25      0.00      0.59      0.11      1.20      0.00      4.29      0.87
   ICESAT1-G          3d  11000108   2005  317.4  301.0  326.0     11   74.91 -154.06   74.65   75.19 -154.83 -152.84    145       855   -999.00   -999.00   -999.00   -999.00      0.33      0.00      0.99      0.14      1.88      0.00      7.97      1.25
   ICESAT1-G          3d  11000109   2005  320.6  302.0  327.0     11   75.31 -157.13   75.05   75.56 -157.79 -156.10    151       894   -999.00   -999.00   -999.00   -999.00      0.27      0.00      0.86      0.15      1.42      0.00      6.83      1.19
